"Phenotype input","Code system","Source code/value or extract field","Analysis field(s)","Role","Source code status","Notes","run_id","run_ts"
"Arterial blood gas measurement","LOINC-derived laboratory field","value_highest_20198","value_highest_20198; paco2; has_abg","Source-cohort enrichment; ABG exposure definition","available extract concept identifier; upstream LOINC code list not available in analysis extract","Imported ABG-related concept field used in the arterial CO2 derivation.","20260424_063653","2026-04-24 06:36:53.744157"
"Arterial blood gas measurement","LOINC-derived laboratory field","value_highest_115576","value_highest_115576; abg_ph; has_abg","Source-cohort enrichment; ABG exposure definition","available extract concept identifier; upstream LOINC code list not available in analysis extract","Imported ABG-related concept field retained with the arterial gas measurement set.","20260424_063653","2026-04-24 06:36:53.744157"
"Arterial blood gas measurement","LOINC-derived laboratory field","value_highest_327718","value_highest_327718; abg_hco3; abg_o2sat; has_abg","Source-cohort enrichment; ABG exposure definition","available extract concept identifier; upstream LOINC code list not available in analysis extract","Imported ABG-related concept field retained with arterial bicarbonate/O2-saturation fields.","20260424_063653","2026-04-24 06:36:53.744157"
"Arterial blood gas procedure","LOINC/procedure-derived flag","meas_arterial_gas_proc; meas_art_gas_proc_first_date","meas_arterial_gas_proc; meas_art_gas_proc_first_date; has_abg","Source-cohort enrichment; ABG exposure definition; timing diagnostics","collapsed derived procedure flag; upstream source code list not available in analysis extract","Procedure-date field is an encounter-day offset when present.","20260424_063653","2026-04-24 06:36:53.744157"
"Venous blood gas measurement","LOINC-derived laboratory field","vbg_co2; vbg_ph; vbg_hco3; vbg_o2sat","vbg_co2; vbg_ph; vbg_hco3; vbg_o2sat; has_vbg","Source-cohort enrichment; VBG exposure definition","collapsed derived measurement fields; upstream LOINC code list not available in analysis extract","The de-identified analysis extract stores VBG measurement variables rather than row-level LOINC code rows.","20260424_063653","2026-04-24 06:36:53.744157"
"Venous blood gas procedure","LOINC/procedure-derived flag","meas_venous_o2_proc; meas_venous_o2_proc_first_date","meas_venous_o2_proc; meas_venous_o2_proc_first_date; has_vbg","Source-cohort enrichment; VBG exposure definition; timing diagnostics","collapsed derived procedure flag; upstream source code list not available in analysis extract","Procedure-date field is an encounter-day offset when present.","20260424_063653","2026-04-24 06:36:53.744157"
"Hypercapnic respiratory failure and related respiratory diagnoses","ICD-10-CM-derived diagnosis flags","hypercap_resp_failure; resp_acid_dx; other_resp_failure; resp_abnormality; resp_dep_compl; RESPFAIL_rfs","hypercap_resp_failure; resp_acid_dx; other_resp_failure; resp_abnormality; resp_dep_compl; RESPFAIL_rfs","Source-cohort enrichment; hypercapnic respiratory failure outcome definition","collapsed derived diagnosis flags; upstream ICD-10-CM code list not available in analysis extract","These fields identify respiratory-failure phenotypes after upstream code grouping.","20260424_063653","2026-04-24 06:36:53.744157"
"Severe obesity, OHS, and sleep-hypoventilation criteria","ICD-10-CM-derived flags and measured BMI fields","ohs_code; sleep_hypovent_dx; other_sleep_hypovent_dx; curr_bmi; working_bmi; bmi; ats_ohs_flag; pos_ohs_flag; OBESITY_rfs","ohs_code; sleep_hypovent_dx; other_sleep_hypovent_dx; curr_bmi; working_bmi; bmi; ats_ohs_flag; pos_ohs_flag; OBESITY_rfs","Source-cohort enrichment; covariate definition","mixed measured fields and collapsed derived diagnosis flags; upstream ICD-10-CM code list not available in analysis extract","BMI is retained as a baseline covariate; OHS and obesity flags support enriched-cohort construction.","20260424_063653","2026-04-24 06:36:53.744157"
"Non-invasive ventilation procedure","CPT/PCS/procedure-derived flag","niv_proc; niv_proc_first_date","niv_proc; niv_proc_first_date; VENTSUPPORT_rfs","Source-cohort enrichment; NIV outcome definition; timing diagnostics","collapsed derived procedure flag; upstream CPT/PCS/procedure code list not available in analysis extract","The date field is an encounter-day offset and is used only for diagnostic timing sensitivity.","20260424_063653","2026-04-24 06:36:53.744157"
"Invasive mechanical ventilation procedure","CPT/PCS/procedure-derived flag","imv_proc; imv_proc_first_date","imv_proc; imv_proc_first_date; VENTSUPPORT_rfs","Source-cohort enrichment; IMV outcome definition; timing diagnostics","collapsed derived procedure flag; upstream CPT/PCS/procedure code list not available in analysis extract","The date field is an encounter-day offset and is used only for diagnostic timing sensitivity.","20260424_063653","2026-04-24 06:36:53.744157"
"Any ventilatory support procedure","CPT/PCS/procedure-derived flag","vent_proc; vent_proc_first_date; VENTSUPPORT_rfs","vent_proc; vent_proc_first_date; VENTSUPPORT_rfs","Source-cohort enrichment; ventilatory-support phenotype definition","collapsed derived procedure flag; upstream CPT/PCS/procedure code list not available in analysis extract","Composite ventilatory-support fields combine NIV and IMV-related upstream procedure groupings.","20260424_063653","2026-04-24 06:36:53.744157"
