"manuscript_label","numbering_slot","title","caption","kind","section","chunk_label","status","source_type","required_in_validation","expected_extensions","pdf_display","deprecated_replacement","missing_artifact_severity","canonical_stub","canonical_artifact_path","alias_stub","alias_artifact_path","analysis_family","notes","run_id","run_ts"
"Figure 1","Figure 1","Cohort assembly and target population for inverse probability-of-sampling weighting","Figure 1. Cohort assembly and target population for inverse probability-of-sampling weighting","figure","main","cohort-flow-figure","generated","notebook_generated",TRUE,"png,pdf",TRUE,"","fail","cohort_flow","Results/cohort_flow.png","figure_1_cohort_assembly_target_population_ipsw","Results/figs/figure_1_cohort_assembly_target_population_ipsw.png","main","Primary cohort-flow display; .pdf sidecar also generated.","20260421_094018","2026-04-21 09:40:18.841212"
"Figure 2","Figure 2","Primary MI-logistic IPSW-weighted spline associations of pCO2 with clinical outcomes by ABG and VBG","Figure 2. Primary MI-logistic IPSW-weighted spline associations of pCO2 with clinical outcomes by ABG and VBG","figure","main","key-results-spline-main-mi-ipw-abg-vbg","generated","notebook_generated",TRUE,"png,pdf",TRUE,"","fail","key-results-spline-main-mi-ipw-abg-vbg","Results/figs/key-results-spline-main-mi-ipw-abg-vbg.png","figure_2_primary_weighted_spline_associations_abg_vbg","Results/figs/figure_2_primary_weighted_spline_associations_abg_vbg.png","main_mi_ipw_spline","Combined manuscript-facing weighted spline figure from the primary MI-logistic IPSW analysis; .pdf sidecar also generated.","20260421_094018","2026-04-21 09:40:18.841212"
"Table 1","Table 1","Baseline characteristics of the analytic cohort overall and by receipt of arterial and venous blood gas testing","Table 1. Baseline characteristics of the analytic cohort overall and by receipt of arterial and venous blood gas testing","table","main","table1-everyone-abg-vbg","generated","notebook_generated",TRUE,"csv,pdf",TRUE,"","fail","table1_combined","Results/table1_combined.pdf","table_1_baseline_characteristics_analytic_cohort","Results/table_1_baseline_characteristics_analytic_cohort.pdf","baseline","Rendered from the canonical tbl1/tbl1_combined_csv objects; paired CSV also generated.","20260421_094018","2026-04-21 09:40:18.841212"
"Table 2","Table 2","MI-pooled, MI-logistic IPSW-weighted 3-level categorical results for ABG and VBG","Table 2. MI-pooled, MI-logistic IPSW-weighted 3-level categorical results for ABG and VBG","table","main","table2-weighted-categorical-outcomes","generated","notebook_generated",TRUE,"csv,pdf",TRUE,"","fail","table_2_weighted_categorical_outcomes","Results/table_2_weighted_categorical_outcomes.pdf","table_2_weighted_categorical_outcomes","Results/table_2_weighted_categorical_outcomes.pdf","main_mi_weighted_categorical","Main manuscript table for weighted categorical ORs and predicted probabilities across ABG and VBG.","20260421_094018","2026-04-21 09:40:18.841212"
"Figure S1","Figure S1","Covariate balance after MI logistic inverse-probability weighting for ABG and VBG test-ordering models","Figure S1. Covariate balance after MI logistic inverse-probability weighting for ABG and VBG test-ordering models","figure","supplement","loveplot-mi-logistic","generated","notebook_generated",TRUE,"png,pdf",TRUE,"","fail","loveplot-mi-logistic-abg-vbg","Results/figs/loveplot-mi-logistic-abg-vbg.png","figure_s1_covariate_balance_mi_logistic_ipsw","Results/figs/figure_s1_covariate_balance_mi_logistic_ipsw.png","mi_logistic_primary","Primary balance diagnostic for the MI logistic IPSW analysis.","20260421_094018","2026-04-21 09:40:18.841212"
"Figure S2","Figure S2","Propensity-score overlap for MI logistic ABG and VBG test-ordering models","Figure S2. Propensity-score overlap for MI logistic ABG and VBG test-ordering models","figure","supplement","mi-propensity-histograms-logistic","generated","notebook_generated",TRUE,"png,pdf",TRUE,"","fail","propensity-histograms-mi-logistic","Results/figs/propensity-histograms-mi-logistic.png","figure_s2_propensity_score_overlap_mi_logistic","Results/figs/figure_s2_propensity_score_overlap_mi_logistic.png","mi_logistic_primary","Imputation-averaged tested-versus-untested propensity-score distributions under the MI logistic IPSW models.","20260421_094018","2026-04-21 09:40:18.841212"
"Figure S3","Figure S3","SHAP-style contribution summaries for MI logistic ABG and VBG test-ordering models","Figure S3. SHAP-style contribution summaries for MI logistic ABG and VBG test-ordering models","figure","supplement","shap-top10-mi-logistic-display","generated","notebook_generated",TRUE,"png,pdf",TRUE,"","fail","shap-top10-mi-logistic-abg-vbg","Results/figs/shap-top10-mi-logistic-abg-vbg.png","figure_s3_shap_style_contributions_mi_logistic","Results/figs/figure_s3_shap_style_contributions_mi_logistic.png","mi_logistic_primary","Mean absolute contribution summaries from the MI logistic IPSW test-ordering models.","20260421_094018","2026-04-21 09:40:18.841212"
"Figure S4","Figure S4","MI-logistic IPSW-weighted categorical associations of pCO2 category with clinical outcomes by ABG and VBG","Figure S4. MI-logistic IPSW-weighted categorical associations of pCO2 category with clinical outcomes by ABG and VBG","figure","supplement","key-results-cat3-main-mi-ipw-abg-vbg","generated","notebook_generated",TRUE,"png,pdf",TRUE,"Figure 3","fail","key-results-cat3-main-mi-ipw-abg-vbg","Results/figs/key-results-cat3-main-mi-ipw-abg-vbg.png","figure_s4_weighted_categorical_associations_abg_vbg","Results/figs/figure_s4_weighted_categorical_associations_abg_vbg.png","mi_weighted_categorical","Weighted categorical display from the primary MI-logistic IPSW analysis, intentionally harmonized as Figure S4 rather than a main-text Figure 3.","20260421_094018","2026-04-21 09:40:18.841212"
"Figure S5","Figure S5","Unweighted covariate-adjusted spline associations of pCO2 with clinical outcomes by ABG and VBG","Figure S5. Unweighted covariate-adjusted spline associations of pCO2 with clinical outcomes by ABG and VBG","figure","supplement","key-results-spline-adjusted-abg-vbg","generated","notebook_generated",TRUE,"png,pdf",TRUE,"","fail","key-results-spline-adjusted-abg-vbg","Results/figs/key-results-spline-adjusted-abg-vbg.png","figure_s5_unweighted_adjusted_spline_abg_vbg","Results/figs/figure_s5_unweighted_adjusted_spline_abg_vbg.png","unweighted_adjusted","Combined adjusted complete-case spline figure; .pdf sidecar also generated.","20260421_094018","2026-04-21 09:40:18.841212"
"Table S2","Table S2","Crude associations of pCO2 category with clinical outcomes by ABG and VBG","Table S2. Crude associations of pCO2 category with clinical outcomes by ABG and VBG","table","supplement","supplement-table-s2-crude","generated","notebook_generated",TRUE,"csv,pdf",TRUE,"","fail","table_s2_crude_threelevel","Results/table_s2_crude_threelevel.pdf","table_s2_crude_threelevel","Results/table_s2_crude_threelevel.pdf","crude","Standalone crude categorical odds-ratio table; paired CSV also generated.","20260421_094018","2026-04-21 09:40:18.841212"
