"check","status","observed","threshold","scanner","detail"
"page_count","passed","41",">=40","pdfinfo","Rendered PDF should contain the canonical manuscript/supplement display set."
"image_count","passed","3",">=0","pdfimages","Image-count threshold is optional because manuscript figures may render as vector PDF inclusions."
"required_text_1","passed","found","","pdftotext","Figure 1. Cohort assembly"
"required_text_2","passed","found","","pdftotext","Figure 2. Primary MI-logistic IPSW-weighted spline associations"
"required_text_3","passed","found","","pdftotext","Figure S1. Covariate balance after MI logistic inverse-probability weighting"
"required_text_4","passed","found","","pdftotext","Figure S2. Propensity-score overlap for MI logistic"
"required_text_5","passed","found","","pdftotext","Figure S3. SHAP-style contribution summaries for MI logistic"
"required_text_6","passed","found","","pdftotext","Figure S4. MI-logistic IPSW-weighted categorical associations"
"required_text_7","passed","found","","pdftotext","Figure S5. Unweighted covariate-adjusted spline associations"
"required_text_8","passed","found","","pdftotext","Figure S6. Covariate balance after gradient-boosted propensity weighting"
"required_text_9","passed","found","","pdftotext","Figure S7. Propensity-score overlap for gradient-boosted"
"required_text_10","passed","found","","pdftotext","Figure S8. SHAP-style contribution summaries for gradient-boosted"
"required_text_11","passed","found","","pdftotext","Table 1. Baseline characteristics"
"required_text_12","passed","found","","pdftotext","Table 2. MI-pooled, MI-logistic IPSW-weighted 3-level categorical results"
"required_text_13","passed","found","","pdftotext","Table S1. Inclusion criteria"
"required_text_14","passed","found","","pdftotext","Table S2. Crude associations"
"required_text_15","passed","found","","pdftotext","Table S3. GBM IPSW-weighted associations"
"required_text_16","passed","found","","pdftotext","Table S4. Missingness of baseline covariates"
"required_text_17","passed","found","","pdftotext","Table S5. Multiple-imputation diagnostic summary"
"required_text_18","passed","found","","pdftotext","Analysis of the discordance between predicted probabilities and OR for NIV and IMV"
"required_text_19","passed","found","","pdftotext","Sentinel procedure capture/completeness"
"required_text_20","passed","found","","pdftotext","Summary of plausible explanations for NIV/IMV probability-OR discordance"
"required_text_21","passed","found","","pdftotext","Enhanced capture proxies, sentinel v2 specificity notes, IMV setting heterogeneity, timing field mapping, and metadata audits"
"required_text_22","passed","found","","pdftotext","The final remaining-issues summary separates resolved or strongly clarified findings from unresolved residual IMV"
"required_text_23","passed","found","","pdftotext","marginally standardized to the common eligible source-population covariate distribution"
"required_text_24","passed","found","","pdftotext","Current NIV/IMV OR and predicted-probability summaries"
"figure_2_note_below_display","passed","found","","pdftotext","Figure 2. Primary MI-logistic IPSW-weighted spline associations => Predicted probability curves are marginally standardized to the common eligible source-population covariate distribution"
"figure_s4_note_below_display","passed","found","","pdftotext","Figure S4. MI-logistic IPSW-weighted categorical associations => Predicted probabilities are pooled on the link scale and marginally standardized to the common eligible source-population covariate distribution"
"figure_s5_note_below_display","passed","found","","pdftotext","Figure S5. Unweighted covariate-adjusted spline associations => Note: Odds ratio curves are relative to the test-specific reference CO2 values"
"no_embedded_missingness_strings","passed","absent","","pdftotext","Validation PDF should not include embedded missingness denominators in table cells."
"no_noncanonical_table_2a","passed","absent","","pdftotext","Validation PDF should suppress exploratory crude CO2-category outcome tables."
"table_1_no_internal_columns","passed","absent","","pdftotext","Forbidden table-layout/internal text near Table 1. Baseline characteristics"
"table_2_no_split_parts","passed","absent","","pdftotext","Forbidden table-layout/internal text near Table 2. MI-pooled, MI-logistic IPSW-weighted 3-level categorical results"
"table_s2_no_split_parts","passed","absent","","pdftotext","Forbidden table-layout/internal text near Table S2. Crude associations"
"table_s3_no_split_parts","passed","absent","","pdftotext","Forbidden table-layout/internal text near Table S3. GBM IPSW-weighted associations"
