"manuscript_label","field_name","raw_text","safe_text","raw_is_ascii","safe_is_ascii","normalized","glyph_status","severity","run_id","run_ts"
"Figure 1","caption","Figure 1. Cohort assembly and target population for inverse probability-of-sampling weighting","Figure 1. Cohort assembly and target population for inverse probability-of-sampling weighting",TRUE,TRUE,FALSE,"pass","none","20260421_094018","2026-04-21 09:40:18.841212"
"Figure 2","caption","Figure 2. Primary MI-logistic IPSW-weighted spline associations of pCO2 with clinical outcomes by ABG and VBG","Figure 2. Primary MI-logistic IPSW-weighted spline associations of pCO2 with clinical outcomes by ABG and VBG",TRUE,TRUE,FALSE,"pass","none","20260421_094018","2026-04-21 09:40:18.841212"
"Table 1","caption","Table 1. Baseline characteristics of the analytic cohort overall and by receipt of arterial and venous blood gas testing","Table 1. Baseline characteristics of the analytic cohort overall and by receipt of arterial and venous blood gas testing",TRUE,TRUE,FALSE,"pass","none","20260421_094018","2026-04-21 09:40:18.841212"
"Table 2","caption","Table 2. MI-pooled, MI-logistic IPSW-weighted 3-level categorical results for ABG and VBG","Table 2. MI-pooled, MI-logistic IPSW-weighted 3-level categorical results for ABG and VBG",TRUE,TRUE,FALSE,"pass","none","20260421_094018","2026-04-21 09:40:18.841212"
"Figure S1","caption","Figure S1. Covariate balance after MI logistic inverse-probability weighting for ABG and VBG test-ordering models","Figure S1. Covariate balance after MI logistic inverse-probability weighting for ABG and VBG test-ordering models",TRUE,TRUE,FALSE,"pass","none","20260421_094018","2026-04-21 09:40:18.841212"
"Figure S2","caption","Figure S2. Propensity-score overlap for MI logistic ABG and VBG test-ordering models","Figure S2. Propensity-score overlap for MI logistic ABG and VBG test-ordering models",TRUE,TRUE,FALSE,"pass","none","20260421_094018","2026-04-21 09:40:18.841212"
"Figure S3","caption","Figure S3. SHAP-style contribution summaries for MI logistic ABG and VBG test-ordering models","Figure S3. SHAP-style contribution summaries for MI logistic ABG and VBG test-ordering models",TRUE,TRUE,FALSE,"pass","none","20260421_094018","2026-04-21 09:40:18.841212"
"Figure S4","caption","Figure S4. MI-logistic IPSW-weighted categorical associations of pCO2 category with clinical outcomes by ABG and VBG","Figure S4. MI-logistic IPSW-weighted categorical associations of pCO2 category with clinical outcomes by ABG and VBG",TRUE,TRUE,FALSE,"pass","none","20260421_094018","2026-04-21 09:40:18.841212"
"Figure S5","caption","Figure S5. Unweighted covariate-adjusted spline associations of pCO2 with clinical outcomes by ABG and VBG","Figure S5. Unweighted covariate-adjusted spline associations of pCO2 with clinical outcomes by ABG and VBG",TRUE,TRUE,FALSE,"pass","none","20260421_094018","2026-04-21 09:40:18.841212"
"Table S2","caption","Table S2. Crude associations of pCO2 category with clinical outcomes by ABG and VBG","Table S2. Crude associations of pCO2 category with clinical outcomes by ABG and VBG",TRUE,TRUE,FALSE,"pass","none","20260421_094018","2026-04-21 09:40:18.841212"
"Table S3","caption","Table S3. GBM IPSW-weighted associations of pCO2 category with clinical outcomes by ABG and VBG","Table S3. GBM IPSW-weighted associations of pCO2 category with clinical outcomes by ABG and VBG",TRUE,TRUE,FALSE,"pass","none","20260421_094018","2026-04-21 09:40:18.841212"
"Figure S6","caption","Figure S6. Covariate balance after gradient-boosted propensity weighting for ABG and VBG test-ordering models","Figure S6. Covariate balance after gradient-boosted propensity weighting for ABG and VBG test-ordering models",TRUE,TRUE,FALSE,"pass","none","20260421_094018","2026-04-21 09:40:18.841212"
"Figure S7","caption","Figure S7. Propensity-score overlap for gradient-boosted ABG and VBG test-ordering models","Figure S7. Propensity-score overlap for gradient-boosted ABG and VBG test-ordering models",TRUE,TRUE,FALSE,"pass","none","20260421_094018","2026-04-21 09:40:18.841212"
"Figure S8","caption","Figure S8. SHAP-style contribution summaries for gradient-boosted ABG and VBG test-ordering models","Figure S8. SHAP-style contribution summaries for gradient-boosted ABG and VBG test-ordering models",TRUE,TRUE,FALSE,"pass","none","20260421_094018","2026-04-21 09:40:18.841212"
"Table S1","caption","Table S1. Inclusion criteria into the enriched sample","Table S1. Inclusion criteria into the enriched sample",TRUE,TRUE,FALSE,"pass","none","20260421_094018","2026-04-21 09:40:18.841212"
"Table S4","caption","Table S4. Missingness of baseline covariates used in the primary analysis","Table S4. Missingness of baseline covariates used in the primary analysis",TRUE,TRUE,FALSE,"pass","none","20260421_094018","2026-04-21 09:40:18.841212"
"Table S5","caption","Table S5. Multiple-imputation diagnostic summary","Table S5. Multiple-imputation diagnostic summary",TRUE,TRUE,FALSE,"pass","none","20260421_094018","2026-04-21 09:40:18.841212"
"validation","section_heading","Validation build summary","Validation build summary",TRUE,TRUE,FALSE,"pass","none","20260421_094018","2026-04-21 09:40:18.841212"
"validation","section_heading","Diagnostics audit summary","Diagnostics audit summary",TRUE,TRUE,FALSE,"pass","none","20260421_094018","2026-04-21 09:40:18.841212"
